eta	CONJ	eta
sintaxi-arau	N	sintaxi+-+arau
ezberdinak	ADJDEFPLABS	ezberdin
garabide	N	garabide
honek	SGDETERGDEF	hau
zuzendurik	PRTVINDFV.PTCP	zuzendu
daude	ARGAB3PPROGINDV	egon
,	_	,
eta	CONJ	eta
oinarrizko	ADJ	oinarrizko
berezitasunen	DEFINANPLGENN	berezitasun
garapen	N	garapen
bera	SGDETDEFABS	bera
edo	CONJ	edo
antzerakoa	ADJSGDEFABS	antzerako
izan	VV.PTCP	izan
beharko	V	behar_izan
dute	ARGAB3SARGER3PINDV	*edun
.	_	.

"	_	"
Arropa	N	arropa
mota	N	mota
guztiak	DEFABSPLDET	guzti
gustatzen	NFINVIPFV	gustatu
zaizkidan	ARGAB3PARGDA1SVIND	izan
arren	CONJ	arren
,	_	,
nahiago	NINDFCMPRABS	nahi
ditut	ARGAB3PARGER1SVPROGIND	ukan
soinekoak	INANABSNPLDEF	soineko
"	_	"
.	_	.

"	_	"
Lortu	VV.PTCP	lortu
behar	NINDFABS	behar
dugu	ARGAB3SARGER1PVPROGIND	ukan
.	_	.

Hasiera	N	hasiera
batean	NUM	bat
ez	NEGPART	ez
zegoen	ARGAB3SPROGVIND	egon
halako	ADJ	halako
goi	ADJ	goi
bilerarik	PRTINDFINANN	bilera
aurreikusita	VV.PTCP	aurreikusi
,	_	,
baina	CONJ	baina
Israelgo	PROPNDEFSGESS	Israel
agintariak	DEFSGERGANIMN	agintari
posibilitate	N	posibilitate
hori	DETDEFSGABS	hori
aipatu	VPFVV.PTCP	aipatu
zuen	ARGER3SARGAB3SVIND	*edun
Norvegiako	PROPNDEFSGESS	Norvegia
hiriburuan	IN+ESSSGDEFINANN	hiriburu
.	_	.

Ile	N	ile
beltz	ADJ	beltz
ugaria	SGABSADJDEF	ugari
txukun	INDFABSADJ	txukun
ebakita	VV.PTCP	ebaki
eta	CONJ	eta
orraztuta	VV.PTCP	orraztu
zeraman	ARGAB3SARGER3SVPROGIND	eraman
.	_	.

ez	NEGPART	ez
zukeen	ARGAB3SARGER3SCONDV	*edun
golik	NPRTINDF	gol
sartuko	VV.PTCPPROSP	sartu
"	_	"
.	_	.

Ordu	N	ordu
berean	IN+ESSSGDET	bera
,	_	,
aitak	NSGDEFERG	aita
,	_	,
esku	N	esku
erne	ADJ	erne
batez	NUM	bat
hartzen	NFINVIPFV	hartu
nau	ARGAB1SARGER3SVIND	*edun
eta	CONJ	eta
bazterrera	INANSGNAT+ALLDEF	bazter
eramaten	NFINVIPFV	eraman
.	_	.

Jontxu	PROPNDEFSGABS	Jontxu
ikusi	VPFVV.PTCP	ikusi
zuenean	ARGER3SARGAB3SVIND	*edun
,	_	,
laster	ADV	laster
ezagutu	VPFVV.PTCP	ezagutu
zuen	ARGER3SARGAB3SVIND	*edun
:	_	:

Egun	ADV	egun
,	_	,
lekutan	ADV	lekutan
dira	ARGAB3PPROGINDV	izan
Kalifornian	PROPNDEFSGIN+ESS	Kalifornia
argia	NSGDEFABS	argi
ikusi	PFVVV.PTCP	ikusi
zuten	ARGAB3SARGER3PINDV	*edun
euskarazko	NESSINANINDF	euskara
aldizkari	N	aldizkari
haiek	PLDETDEFABS	haiek
:	_	:

Beraz	CONJ	beraz
,	_	,
ez	NEGPART	ez
dauka	ARGAB3SARGER3SPROGINDV	eduki
zerikusirik	NPRTINDF	zerikusi
zerga	N	zerga
ekologikoarekin	DEFADJSGCOM	ekologiko
,	_	,
horren	SGGENDETDEF	hori
sarrerak	DEFINANPLNABS	sarrera
gizartearen	DEFINANGENNSG	gizarte
aldaketa	N	aldaketa
ekologikorako	ADJINDFABS	ekologiko
erabiliko	PROSPVV.PTCP	erabili
ziren	ARGAB3PINDV	izan
eta	CONJ	eta
.	_	.

Zidane	PROPN	Zidane
,	_	,
Henry	PROPN	Henry
,	_	,
Barthez	PROPN	Barthez
,	_	,
Deschamps	PROPN	Deschamps
,	_	,
Blanc	PROPN	Blanc
eta	CONJ	eta
enparauek	DEFPLADJERG	enparau
Eurokopako	ESSPROPNSGDEF	Eurokopa
talde	N	talde
sendoena	SGABSRLDEFADJ	sendo
osatzen	NFINVIPFV	osatu
dute	ARGAB3SARGER3PVIND	*edun
aditu	N	aditu
gehienentzat	DEFBENPLDET	gehien
.	_	.

Ordurako	ADV	ordurako
,	_	,
merke	ADV	merke
,	_	,
bapo	ADV	bapo
eta	CONJ	eta
arriskutsuki	ADV	arriskutsu+!ki
bazkaldu	VPFVV.PTCP	bazkaldu
bazuen	ARGER3SARGAB3SVIND	*edun
ere	CONJ	ere
,	_	,
korroka	N	korroka
batean	NUM	bat
zeuzkan	ARGAB3PARGER3SPROGINDV	eduki
tripak	PLDEFABSINANN	tripa
.	_	.

Baraken	PROPNSGGENDEF	Barak
gobernua	NSGABSDEF	gobernu
behera	INANSGNAT+ALLDEF	behe
botatzen	IN+ESSV	botatu
saiatuko	VV.PTCPPROSP	saiatu
dela	ARGAB3SVIND	izan
hitza	INANSGABSNDEF	hitz
eman	VV.PTCPPFV	eman
zuen	ARGAB3SARGER3SVIND	*edun
atzo	ADV	atzo
Likudeko	ESSPROPNSGDEF	Likud
buruzagi	N	buruzagi
Ariel	PROPN	Ariel
Sharonek	PROPNSGDEFERG	Sharon
:	_	:

Istripua	DEFINANNABSSG	istripu
izan	PFVVV.PTCP	izan
zuen	ARGAB3SARGER3SINDV	*edun
Boeing-a	NSGDEFABS	boeing
erabat	ADV	erabat
txikitu	VV.PTCP	txikitu
eta	CONJ	eta
kiskalita	VV.PTCP	kiskali
geratu	PFVVV.PTCP	geratu
zen	ARGAB3SINDV	izan
.	_	.

"	_	"
Gaur	ADV	gaur
egun	ADV	egun
,	_	,
antzerkigintza	INANSGABSNDEF	antzerkigintza
beste	DET	beste
bide	N	bide
batetik	NUM	bat
dihoa	ARGAB3SVPROGIND	joan
,	_	,
talde	N	talde
pribatuek	DEFPLADJERG	pribatu
komediari	INANSGDATNDEF	komedia
ekiten	NFINVIPFV	ekin
baitiote	ARGAB3SARGER3PARGDA3SVIND	*edun
"	_	"
.	_	.

Gainera	CONJ	gainera
,	_	,
krisitik	INANSGAT+ABLNDEF	krisi
ateratzeko	INDFVABS	atera
Ernesto	PROPN	Ernesto
Zedillo	PROPN	Zedillo
egungo	ESSADV	egun
lehendakariak	NSGDEFERG	lehendakari
hartutako	ESSVV.PTCP	hartu
neurriek	INANNPLDEFERG	neurri
,	_	,
egoera	N	egoera
ekonomikoa	SGABSADJDEF	ekonomiko
onbideratu	VV.PTCPPFV	onbideratu
duten	ARGAB3SARGER3PVIND	*edun
arren	CONJ	arren
,	_	,
areagoatu	VV.PTCP	areagoaktu
egin	VV.PTCPPFV	egin
dute	ARGAB3SARGER3PVIND	*edun
aberatsen	ANIMNGENPLDEF	aberats
eta	CONJ	eta
pobreen	NGEN	pobre
arteko	ESSANIMPLDEFADP	arte
jauzia	NSGABSDEF	jauzi
.	_	.

Horretarako	INDFABSDET	hori
,	_	,
esan	VV.PTCPPFV	esan
zuen	ARGAB3SARGER3SVIND	*edun
,	_	,
alderdiak	NSGDEFERG	alderdi
"	_	"
ahalegina	INANSGABSNDEF	ahalegin
"	_	"
egin	VV.PTCP	egin
behar	NINDFABS	behar
duela	V	ukan
"	_	"
botoa	NSGABSDEF	boto
PSE-EEri	PROPNSGDATDEF	PSE-EE
ematen	NFINVIPFV	eman
ez	NEGPART	ez
dioten	ARGAB3SARGER3PARGDA3SVIND	*edun
pertsona	N	pertsona
aurrerakoiak	ABSPLADJDEF	aurrerakoi
"	_	"
bere	SGGENDET	bera
tesietara	INANNPLAT+ALLDEF	tesi
inguratzeko	INDFVABS	inguratu
.	_	.

Udaleko	ESSINANSGNDEF	udal
langileek	ANIMNPLDEFERG	langile
,	_	,
bestalde	CONJ	bestalde
,	_	,
25	NUM	25
tona	N	tona
hondakin	NINDFABS	hondakin
eraman	VV.PTCPPFV	eraman
zituzten	ARGAB3PARGER3PVIND	*edun
atzo	ADV	atzo
atentatuaren	NSGGENDEF	atentatu
lekutik	INANSGAT+ABLNDEF	leku
.	_	.

Ospitaleak	NSGDEFERG	ospitale
,	_	,
gaur	ADV	gaur
egun	ADV	egun
,	_	,
ospe	N	ospe
handia	SGABSADJDEF	handi
du	ARGAB3SARGER3SVPROGIND	ukan
nazioartean	NSGIN+ESSDEF	nazioarte
.	_	.

Bitartean	CONJ	bitartean
itsasontziak	INANABSNPLDEF	itsasontzi
portuetan	INANIN+ESSNPLDEF	portu
izango	VV.PTCPPROSP	izan
direla	ARGAB3PVIND	izan
jakinarazi	CAUSV	jakinaraz
zuen	ARGAB3SARGER3SVIND	*edun
.	_	.

Zure	PRO	zu
lehen	NUM	lehen
finala	NSGDEFABS	final
da	ARGAB3SPROGINDV	izan
Miarritzerekin	PROPNDEFSGCOM	Miarritze
,	_	,
ez	NEGPART	ez
zara	ARGAB2SINDV	izan
lasai	ADV	lasai
egongo	VPROSPV.PTCP	egon
,	_	,
kapitaina	NSGDEFABS	kapitain
izanda	VV.PTCP	izan
.	_	.

Bada	CONJ	bada
,	_	,
esate	N	esate
baterako	NUM	bat
,	_	,
azterketa	N	azterketa
hauetatik	AT+ABLDETDEFPL	hauek
gero	ADV	gero
oinarriak	DEFINANPLNABS	oinarri
finka	NFINV	finkatu
daitezke	ARGAB3PVPOT	*edin
euskararen	DEFINANGENNSG	euskara
ikaskuntzarako	NINDFABS	ikaskuntza
tresna	N	tresna
informatiko	ADJ	informatiko
lagungarriak	ADJDEFPLABS	lagungarri
diseinatu	VV.PTCP	diseinatu
eta	CONJ	eta
inplementatzeko	VINDFABS	inplementatu
.	_	.

korapiloak	INANSGNDEFERG	korapilo
estutzen	NFINVIPFV	estutu
du	ARGAB3SARGER3SVIND	*edun
.	_	.

Atzeko	ESSNSGDEF	atze
koadroetan	INANIN+ESSNPLDEF	koadro
,	_	,
Iñaki	PROPN	Iñaki
Otxandorenak	PROPNSGDEFERG	Otxandorena
mendean	ADV	mendean
hartu	VV.PTCPPFV	hartu
behar	NINDFABS	behar
luke	ARGAB3SARGER3SCONDVPROG	ukan
Philippe	PROPN	Philippe
Hirigoien	PROPNSGABSDEF	Hirigoien
,	_	,
baina	CONJ	baina
ez	NEGPART	ez
da	ARGAB3SVPROGIND	izan
erregulartasuna	NSGABSDEF	erregulartasun
Mugairekoaren	NSGGENDEF	Mugaire
dohain	N	dohain
nagusia	SGABSADJDEF	nagusi
.	_	.

ONCE	PROPN	ONCE
taldean	INANSGIN+ESSNDEF	talde
egin	VV.PTCPPFV	egin
dituzun	ARGAB3PARGER2SVIND	*edun
urteen	INANNGENPLDEF	urte
balorazioa	NSGABSDEF	balorazio
ona	SGABSADJDEF	on
da	ARGAB3SVPROGIND	izan
,	_	,
ezta	_	ezta
?	_	?

RINGARYD	PROPNSGABSDEF	Ringaryd
ekaitz	N	ekaitz
gogor	ADJ	gogor
baten	NUM	bat
pean	ADPIN+ESSSG	_
izan	VV.PTCPPFV	izan
zen	ARGAB3SVIND	izan
arratsalde	N	arratsalde
osoan	IN+ESSSGADJDEF	oso
.	_	.

horrek	SGDETERGDEF	hori
kili-kolo	ADV	kili-kolo
jarriko	PROSPVV.PTCP	jarri
luke	ARGAB3SARGER3SVCOND	*edun
estatu	N	estatu
desberdinetako	ADJESSDEFPL	desberdin
oinarrizko	ADJ	oinarrizko
tradizio	N	tradizio
sozialen	ADJGEN	sozial
artean	DEFIN+ESSADPPL	arte
ozta-ozta	ADV	ozta-ozta
lortutako	ESSVV.PTCP	lortu
konpromisoa	NSGDEFABS	konpromiso
.	_	.

Mutilak	DEFPLANIMNABS	mutil
konfiantza	N	konfiantza
handiz	ADJINSINDF	handi
etorri	PFVVV.PTCP	etorri
dira	ARGAB3PINDV	izan
"	_	"
.	_	.

Jean	PROPN	Jean
Marie	PROPN	Marie
Poli	PROPN	Poli
Korsikako	PROPNDEFSGESS	Korsika
Errepresioaren	GENN	errepresio
Kontrako	ESSDEFSGADP	_
Batzordeak	SGDEFERGINANN	batzorde
azpimarratu	VPFVV.PTCP	azpimarratu
zuen	ARGER3SARGAB3SVIND	*edun
,	_	,
preso	N	preso
bretoi	ADJ	bretoi
,	_	,
euskaldun	ADJ	euskaldun
eta	CONJ	eta
korsikarrak	ADJDEFPLABS	korsikar
"	_	"
preso	N	preso
politikoak	ADJDEFPLABS	politiko
"	_	"
direla	ARGAB3PPROGVIND	izan
eta	CONJ	eta
preso	N	preso
sozialei	ADJDEFPLDAT	sozial
baino	_	baino
lege	N	lege
"	_	"
gogorragoak	CMPRPLDEFABSADJ	gogor
"	_	"
aplikatzen	VNFINIPFV	aplikatu
zaizkiela	ARGDA3PARGAB3PVIND	izan
.	_	.

Lasterketatik	NAT+ABL	lasterketa
landa	INANSGABSDEFADP	landa
,	_	,
rallyeko	ESSINANSGNDEF	rally
autoak	INANABSNPLDEF	auto
Mauleko	ESSPROPNSGDEF	Maule
pilota	N	pilota
plazara	NSGAT+ALLDEF	plaza
joan	VV.PTCPPFV	joan
ziren	ARGAB3PVIND	izan
,	_	,
han	ADV	han
kokatua	SGABSVV.PTCPDEF	kokatu
baitzen	ARGAB3SVIND	izan
parke	N	parke
itxitua	INANSGABSNDEF	itxitu
.	_	.

Olazabalek	PROPNSGDEFERG	Olazabal
jardunaldi	N	jardunaldi
kaxkarra	SGABSADJDEF	kaxkar
egin	VV.PTCPPFV	egin
du	ARGAB3SARGER3SVIND	*edun
Sun	PROPN	Sun
City	PROPN	City
Torneoan	NSGIN+ESSDEF	torneo
,	_	,
eta	CONJ	eta
liderrarengandik	NSGAT+ABLDEF	lider
zazpi	NUM	zazpi
kolpera	INANSGNAT+ALLDEF	kolpe
da	ARGAB3SVPROGIND	izan
.	_	.

Hasieran	INANSGIN+ESSNDEF	hasiera
esan	VV.PTCPPFV	esan
zen	ARGAB3SVIND	izan
,	_	,
ordea	CONJ	ordea
,	_	,
urpekoaren	INANSGNGENDEF	urpeko
lehen	NUM	lehen
bost	NUM	bost
gelak	INANABSNPLDEF	gela
atzealdean	INANSGIN+ESSNDEF	atzealde
zeudela	ARGAB3PVPROGIND	egon
eta	CONJ	eta
marinel	N	marinel
asko	INDFABSDET	asko
deseginda	VV.PTCP	desegin
gertatuko	VV.PTCPPROSP	gertatu
zirela	ARGAB3PVIND	izan
istripuaren	INANSGNGENDEF	istripu
ondorioz	INANNINDFINS	ondorio
.	_	.

Gero	ADV	gero
,	_	,
bi	NUM	bi
egun	INANNINDFABS	egun
iraungo	VV.PTCPPROSP	iraun
nuke	ARGAB3SARGER1SCONDV	*edun
.	_	.

Bi	NUM	bi
minutu	N	minutu
geroago	ADV	geroago
jokalari	N	jokalari
berak	ERGDEFSGDET	bera
23-16koa	NSGABSDEF	23-16
ezarri	VV.PTCPPFV	ezarri
zuen	ARGAB3SARGER3SVIND	*edun
.	_	.

Zaude	ARGAB2SPROGIMPV	egon
lasai	ADV	lasai
.	_	.

Egun	N	egun
hauetan	IN+ESSDEFPLDET	hauek
Atlantako	ESSPROPNSGDEF	Atlanta
zilarraz	INANSGNDEFINS	zilar
galdetu	VV.PTCPPFV	galdetu
diogun	ARGAB3SARGER1PARGDA3SVIND	*edun
bakoitzean	ADV	bakoitzean
hura	DEFSGABSDET	hura
errepikatzea	VABS	errepikatu
ia	ADV	ia
ezinezkoa	SGABSADJDEF	ezinezko
dela	ARGAB3SVPROGIND	izan
erantzun	VV.PTCPPFV	erantzun
du	ARGAB3SARGER3SVIND	*edun
Abraham	PROPN	Abraham
Olanok	PROPNSGDEFERG	Olano
.	_	.

Herritartasuna	NSGDEFABS	herritartasun
adierazpen	NGEN	adierazpen
bidez	INSINANADP	bide
edo	CONJ	edo
lege-ordezkariaren	DEFANIMGENNSG	lege-ordezkari
eskariz	NINSINANINDF	eskari
eskuratzen	NFINIPFVV	eskuratu
denean	ARGAB3SINDV	izan
,	_	,
baimen-erabakian	DEFINANIN+ESSNSG	baimen-erabaki
dagokion	ARGAB3SARGDA3SPROGINDV	egon
auzotasun	N	auzotasun
zibila	ADJSGDEFABS	zibil
zehaztuko	PROSPVV.PTCP	zehaztu
da	ARGAB3SINDV	izan
.	_	.

Wilma	PROPNDEFSGABS	Wilma
da	ARGAB3SPROGVIND	izan
Jojok	ERGPROPNDEFSG	Jojo
kontratua	DEFSGABSINANN	kontratu
azkena	NUM	azken
luzatzen	VNFINIPFV	luzatu
diona	ARGDA3SARGER3SARGAB3SVSGDEFABSIND	*edun
.	_	.

Casagrandek	PROPNSGDEFERG	Casagrande
buru	NINDFABS	buru
jarraitzen	NFINVIPFV	jarraitu
du	ARGAB3SARGER3SVIND	*edun
UCIko	ESSPROPNSGDEF	UCI
sailkapenean	INANSGIN+ESSNDEF	sailkapen
.	_	.

Iruñeko	ESSPROPNSGDEF	Iruñea
apaizgaitegiko	ESSINANSGNDEF	apaizgaitegi
errektore	NINDFABS	errektore
izan	VV.PTCPPFV	izan
zen	ARGAB3SVIND	izan
(	_	(
1945	NUM	1945
)	_	)
.	_	.

Garai	N	garai
batean	NUM	bat
,	_	,
gorpuekin	NCOM	gorpu
batera	ADPPLAT+ALLDEF	bat
hilobietan	INANIN+ESSNPLDEF	hilobi
ipinitako	ESSVV.PTCP	ipini
urrea	NSGABSDEF	urre
eta	CONJ	eta
zilarra	INANSGABSNDEF	zilar
lapurtzen	NFINVIPFV	lapurtu
zituzten	ARGAB3PARGER3PVIND	*edun
ebasleek	ANIMNPLDEFERG	ebasle
.	_	.

Ekonomia	INANSGABSNDEF	ekonomia
izango	VV.PTCPPROSP	izan
da	ARGAB3SVIND	izan
Gobernu	N	gobernu
berriaren	SGGENADJDEF	berri
ardatz	N	ardatz
nagusia	SGABSADJDEF	nagusi
.	_	.

Munduarentzat	INANSGNBENDEF	mundu
ez	NEGPART	ez
da	ARGAB3SVIND	izan
eskaintzen	NFINVIPFV	eskaini
soluziorik	INANNPRTINDF	soluzio
.	_	.

DONOSTIAKO	ESSPROPNSGDEF	Donostia
ICS	PROPN	Ics
,	_	,
Bartzelonako	ESSPROPNSGDEF	Bartzelona
Servicomex	PROPN	Servicomex
eta	CONJ	eta
Madrilgo	ESSPROPNSGDEF	Madril
Zuricenter	PROPN	Zuricenter
negozio	N	negozio
zentroek	INANNPLDEFERG	zentro
aliantza	N	aliantza
bat	NUM	bat
osatu	VV.PTCPPFV	osatu
dute	ARGAB3SARGER3PVIND	*edun
,	_	,
eta	CONJ	eta
zerbitzu	N	zerbitzu
sare	N	sare
bat	NUM	bat
sortu	VV.PTCP	sortu
.	_	.

Houda	PROPNDEFSGABS	Houda
arabieraz	INDFINSINANN	arabiera
idazten	VIN+ESS	idatzi
ikasten	VNFINIPFV	ikasi
ari	V	ari
da	ARGAB3SPROGINDV	izan
eta	CONJ	eta
koaderno	N	koaderno
honetan	IN+ESSDETDEFSG	hau
egiten	VNFINIPFV	egin
ditu	ARGAB3PARGER3SVIND	*edun
eguneroko	ADJ	eguneroko
ariketak	PLDEFABSINANN	ariketa
.	_	.

Dennis	PROPN	Dennis
Bergkampek	PROPNSGDEFERG	Bergkamp
berretsi	VV.PTCP	berretsi
egin	VV.PTCPPFV	egin
du	ARGAB3SARGER3SVIND	*edun
selekzioa	NSGABSDEF	selekzio
utziko	VV.PTCPPROSP	utzi
duela	ARGAB3SARGER3SVIND	*edun
.	_	.

Guk	PRO	gu
oso	ADV	oso
kritika	N	kritika
zorrotza	ADJSGDEFABS	zorrotz
egiten	VNFINIPFV	egin
diogu	ARGDA3SARGAB3SARGER1PVIND	*edun
,	_	,
batez	NUM	bat
ere	CONJ	ere
adin	N	adin
txikikoen	DEFPLGENN	txiki
arloari	DATSGDEFINANN	arlo
"	_	"
.	_	.

Isuntza	PROPNSGDEFABS	Isuntza
da	ARGAB3SPROGINDV	izan
faborito	ADJ	faborito
nagusia	ADJSGDEFABS	nagusi
Elantxobeko	PROPNESSSGDEF	Elantxobe
banderan	DEFINANIN+ESSNSG	bandera
.	_	.

Esnatu	VV.PTCP	esnatu
orduko	ADV	orduko
esan	PFVVV.PTCP	esan
nuen	ARGAB3SARGER1SINDV	*edun
:	_	:

Jontxuk	NINDFERG	jontxu
ezin	NFINV	ezindu
zuen	ARGAB3SARGER3SVIND	*edun
lorik	NPRTINDF	lo
egin	VV.PTCP	egin
.	_	.

Gurasoek	NDEFPLERG	guraso
eta	CONJ	eta
amonak	NSGDEFERG	amona
Koreako	ESSPROPNSGDEF	Korea
jantzi	N	jantzi
tradizional	ADJ	tradizional
koloretsuak	ABSPLADJDEF	koloretsu
jazten	NFINVIPFV	jantzi
dituzte	ARGAB3PARGER3PVIND	*edun
.	_	.

EITBk	PROPNSGDEFERG	EITB
eta	CONJ	eta
Ibaiak	PROPNSGDEFERG	Ibaia
hitzarmena	INANSGABSNDEF	hitzarmen
sinatu	VV.PTCPPFV	sinatu
dute	ARGAB3SARGER3PVIND	*edun
.	_	.

PRI	PROPNDEFDATSG	PR
